tipo_de_compra;codigo;descricao;fornecedor;qtd_pedido;embalagem_padrao;qtd_corrigida;data_colocacao;semana_compra;rota_cod;centro;rota; preco_unitario ; valor_total ;dia_colocacao;comprador;de_chao;de_simulado;de_fechamento_sim_viveo;politica;forecast;estoque_chao;estoque_total;delta_forecast;estoque_projetado_c_pedido;de_com_pedido_filial
COMPRA SEMANAL;578;FISIOLOGICO 0,9% 250ML CX C/50 BOLSAS BAXTER;BAXTER;402;60;420;21/05/2024;S3;-;Mafra - LDA;1002; R$ 147,00 ; R$ 58.893,00 ;;Teresa;0;0;60;60;155;0;0;155;247;48
COMPRA SEMANAL;756;TRAMAL (A2) 50MG/ML CX C/5 AMP 1ML;GRUNENTHAL;26;1;26;21/05/2024;S3;-;Mafra - DF;1009; R$ 31,00 ; R$ 805,22 ;Livre;Elisete;15;15;60;60;14;7;7;6;27;58
COMPRA SEMANAL;1418;SELOKEN (1MG/ML) C/5 AMP VD INC 5ML;ASTRAZENECA;191;1;191;21/05/2024;S3;-;Mafra - RPO;1001; R$ 123,00 ; R$ 23.412,78 ;Livre;Byanca;6;8;60;30;428;91;121;148;164;11
COMPRA SEMANAL;1490;COMPLEXO B (HYPLEX -B) C/100 AMP VD AMB 2ML;HYPOFARMA;220;12;216;21/05/2024;S3;-;Mafra - RPO;1001; R$ 85,00 ; R$ 18.700,00 ;Livre;Alessandro;0;0;60;30;123;0;0;113;107;26
COMPRA SEMANAL;1490;COMPLEXO B (HYPLEX -B) C/100 AMP VD AMB 2ML;HYPOFARMA;77;12;72;21/05/2024;S3;-;Mafra - LDA;1002; R$ 85,00 ; R$ 6.545,00 ;Livre;Alessandro;0;0;60;30;40;0;0;37;40;30
COMPRA SEMANAL;1490;COMPLEXO B (HYPLEX -B) C/100 AMP VD AMB 2ML;HYPOFARMA;882;12;888;21/05/2024;S3;-;Mafra - DF;1009; R$ 85,00 ; R$ 74.970,00 ;Livre;Alessandro;0;0;60;30;461;0;0;421;461;30
COMPRA SEMANAL;1490;COMPLEXO B (HYPLEX -B) C/100 AMP VD AMB 2ML;HYPOFARMA;45;12;48;21/05/2024;S3;-;Mafra - REC;1010; R$ 85,00 ; R$ 3.825,00 ;Livre;Alessandro;0;0;60;30;23;0;0;21;24;31
COMPRA SEMANAL;1490;COMPLEXO B (HYPLEX -B) C/100 AMP VD AMB 2ML;HYPOFARMA;17;12;12;21/05/2024;S3;-;Mafra - RJ;1023; R$ 85,00 ; R$ 1.445,00 ;;Alessandro;0;0;60;30;9;0;0;8;9;30
COMPRA SEMANAL;1533;BICARBONATO DE SODIO 8,4% C/35 FR SIST.FECHADO 250ML;HYPOFARMA;9;1;9;21/05/2024;S3;-;Mafra - RPO;1001; R$ 700,00 ; R$ 6.300,00 ;Livre;Alessandro;0;9;60;30;17;0;5;5;9;16
COMPRA SEMANAL;1533;BICARBONATO DE SODIO 8,4% C/35 FR SIST.FECHADO 250ML;HYPOFARMA;2;1;2;21/05/2024;S3;-;Mafra - LDA;1002; R$ 700,00 ; R$ 1.400,00 ;Livre;Alessandro;0;0;60;30;5;0;0;2;0;3
COMPRA SEMANAL;1533;BICARBONATO DE SODIO 8,4% C/35 FR SIST.FECHADO 250ML;HYPOFARMA;2;1;2;21/05/2024;S3;-;Mafra - REC;1010; R$ 700,00 ; R$ 1.400,00 ;Livre;Alessandro;6;6;60;30;5;1;1;2;1;9
COMPRA SEMANAL;1546;ROCEFIN 500MG IV F/A PO ESTERIL LIOF + DIL 5ML;ROCHE;10;1;10;21/05/2024;S3;-;Mafra - DF;1009; R$ 41,00 ; R$ 411,40 ;;Byanca;0;39;60;30;38;0;50;37;23;18
COMPRA SEMANAL;1629;HIRUDOID 300 GEL 40GR;DAIICHI;137;48;144;21/05/2024;S3;12;Mafra - RPO;1003->1001; R$ 14,00 ; R$ 1.945,40 ;Livre;Byanca;0;37;60;45;232;0;288;232;287;37
COMPRA SEMANAL;1629;HIRUDOID 300 GEL 40GR;DAIICHI;94;48;96;21/05/2024;S3;-;Mafra - RPO;1001; R$ 14,00 ; R$ 1.334,80 ;Livre;Byanca;0;37;60;45;232;0;288;232;287;37
COMPRA SEMANAL;1629;HIRUDOID 300 GEL 40GR;DAIICHI;25;48;48;21/05/2024;S3;-;Mafra - LDA;1002; R$ 15,00 ; R$ 376,75 ;Livre;Byanca;0;0;60;45;15;0;0;15;10;19
COMPRA SEMANAL;1629;HIRUDOID 300 GEL 40GR;DAIICHI;308;48;288;21/05/2024;S3;-;Mafra - REC;1010; R$ 14,00 ; R$ 4.382,84 ;Livre;Byanca;0;50;60;45;463;0;768;463;613;40
COMPRA SEMANAL;1680;TRIDIL (NITROGLICERINA) 50MG C/10 AMP 10ML*;CRISTALIA;60;60;60;21/05/2024;S3;-;Mafra - DF;1009; R$ 300,00 ; R$ 18.000,00 ;Livre;Alessandro;0;0;60;60;22;0;0;2;58;79
COMPRA SEMANAL;1701;IRINOTECANO CLOR. (GEN) 100MG F/A 5ML;ACCORD;1068;240;960;21/05/2024;S3;-;Mafra - RPO;1001; R$ 30,00 ; R$ 32.040,00 ;Livre;Andrew;0;16;60;60;448;0;240;447;861;58
COMPRA SEMANAL;1713;EPIRRUBICINA CLOR (GEN) 50MG FR/AMP 25ML (G);ACCORD;108;10;110;21/05/2024;S3;-;Mafra - RPO;1001; R$ 143,00 ; R$ 15.390,00 ;Livre;Andrew;2;15;60;60;52;4;26;29;105;60
COMPRA SEMANAL;1713;EPIRRUBICINA CLOR (GEN) 50MG FR/AMP 25ML (G);ACCORD;11;10;10;21/05/2024;S3;-;Mafra - LDA;1002; R$ 143,00 ; R$ 1.567,50 ;Livre;Andrew;0;38;60;60;8;0;10;4;17;62
COMPRA SEMANAL;1713;EPIRRUBICINA CLOR (GEN) 50MG FR/AMP 25ML (G);ACCORD;10;10;10;21/05/2024;S3;-;Mafra - DF;1009; R$ 143,00 ; R$ 1.425,00 ;Livre;Andrew;30;30;60;60;1;1;1;0;11;320
COMPRA SEMANAL;1713;EPIRRUBICINA CLOR (GEN) 50MG FR/AMP 25ML (G);ACCORD;10;10;10;21/05/2024;S3;61;Mafra - RJ;1002->1023; R$ 143,00 ; R$ 1.425,00 ;Livre;Andrew;38;38;60;60;8;10;10;4;16;59
COMPRA SEMANAL;1778;ALIMTA 100MG F/A PO IV ESTERIL LIOF*;ELI LILLY;18;1;18;21/05/2024;S3;-;Mafra - DF;1009; R$ 1.610,00 ; R$ 28.978,20 ;Livre;Byanca;8;8;60;20;44;11;11;21;8;5
COMPRA SEMANAL;1778;ALIMTA 100MG F/A PO IV ESTERIL LIOF*;ELI LILLY;2;1;2;21/05/2024;S3;20;Mafra - REC;1009->1010; R$ 1.610,00 ; R$ 3.219,80 ;Livre;Byanca;0;0;60;20;20;0;0;8;2;3
COMPRA SEMANAL;1778;ALIMTA 100MG F/A PO IV ESTERIL LIOF*;ELI LILLY;8;1;8;21/05/2024;S3;-;Mafra - REC;1010; R$ 1.610,00 ; R$ 12.879,20 ;Livre;Byanca;0;0;60;20;20;0;0;8;2;3
COMPRA SEMANAL;1802;HEPARINA SOD.5000UI (HEMOFOL) C/25 AMP 0,25ML;CRISTALIA;109;48;96;21/05/2024;S3;-;Mafra - RPO;1001; R$ 171,00 ; R$ 18.639,00 ;Livre;Alessandro;18;69;60;60;364;219;843;224;728;60
COMPRA SEMANAL;1802;HEPARINA SOD.5000UI (HEMOFOL) C/25 AMP 0,25ML;CRISTALIA;124;48;144;21/05/2024;S3;-;Mafra - DF;1009; R$ 171,00 ; R$ 21.204,00 ;Livre;Alessandro;17;17;60;60;122;70;70;75;119;29
COMPRA SEMANAL;1827;PENTASA 500MG C/50 CPR;CELLERA;7;1;7;21/05/2024;S3;-;Mafra - RPO;1001; R$ 291,00 ; R$ 2.034,41 ;Livre;Elisete;12;12;60;30;5;2;2;4;5;29
COMPRA SEMANAL;1903;PAMERGAN (CLOR. PROMETAZINA) 25MG/ML C/50 AMP 2ML;CRISTALIA;40;40;40;21/05/2024;S3;-;Mafra - DF;1009; R$ 150,00 ; R$ 6.000,00 ;Livre;Alessandro;12;12;60;60;17;7;7;11;36;64
COMPRA SEMANAL;1920;ACTEMRA 80MG/4 ML FR/A (G);ROCHE;21;1;21;24/05/2024;S3;27;Mafra - RPO;1009->1001; R$ 740,00 ; R$ 15.543,57 ;Sexta-feira;Byanca;4;20;60;30;84;11;56;49;43;15
COMPRA SEMANAL;1920;ACTEMRA 80MG/4 ML FR/A (G);ROCHE;16;1;16;24/05/2024;S3;-;Mafra - RPO;1001; R$ 743,00 ; R$ 11.516,19 ;Sexta-feira;Byanca;4;20;60;30;84;11;56;49;43;15
COMPRA SEMANAL;1920;ACTEMRA 80MG/4 ML FR/A (G);ROCHE;141;1;141;24/05/2024;S3;-;Mafra - LDA;1002; R$ 740,00 ; R$ 103.993,89 ;Sexta-feira;Byanca;0;10;60;30;241;2;81;141;80;10
COMPRA SEMANAL;1920;ACTEMRA 80MG/4 ML FR/A (G);ROCHE;11;1;11;24/05/2024;S3;-;Mafra - DF;1009; R$ 740,00 ; R$ 8.141,87 ;Sexta-feira;Byanca;0;40;60;30;95;0;128;56;83;26
COMPRA SEMANAL;1920;ACTEMRA 80MG/4 ML FR/A (G);ROCHE;13;1;13;24/05/2024;S3;51;Mafra - RJ;1009->1023; R$ 740,00 ; R$ 9.252,13 ;Sexta-feira;Byanca;0;0;60;30;46;0;0;27;2;2
COMPRA SEMANAL;1920;ACTEMRA 80MG/4 ML FR/A (G);ROCHE;17;1;17;24/05/2024;S3;-;Mafra - RJ;1023; R$ 738,00 ; R$ 12.553,31 ;Sexta-feira;Byanca;0;0;60;30;46;0;0;27;2;2
COMPRA SEMANAL;2083;EFRINALIN (EPINEFRINA) 1MG/ML C/100 AMP 1ML (G);BLAU;11;18;18;21/05/2024;S3;-;Mafra - DF;1009; R$ 163,00 ; R$ 1.787,50 ;Livre;Alessandro;20;20;60;50;12;8;8;12;7;19
COMPRA SEMANAL;2164;INSUNORM N (INSULINA HUMANA) 100UI NPH- (G);ASPEN;7;1;7;21/05/2024;S3;-;Mafra - DF;1009; R$ 23,00 ; R$ 158,90 ;;Teresa;0;0;60;60;3;0;0;3;4;40
COMPRA SEMANAL;2218;TEVACARBO (CARBOPLATINA) 150MG F/A 15ML (G);TEVA;33;1;33;21/05/2024;S3;-;Mafra - RPO;1001; R$ 50,00 ; R$ 1.650,00 ;Livre;Andrew;24;45;60;40;282;222;423;238;218;23
COMPRA SEMANAL;2218;TEVACARBO (CARBOPLATINA) 150MG F/A 15ML (G);TEVA;1;1;1;21/05/2024;S3;-;Mafra - LDA;1002; R$ 50,00 ; R$ 50,00 ;;Andrew;0;50;60;40;3;0;5;2;4;39
COMPRA SEMANAL;2218;TEVACARBO (CARBOPLATINA) 150MG F/A 15ML (G);TEVA;1;1;1;21/05/2024;S3;-;Mafra - CTL;1003; R$ 50,00 ; R$ 50,00 ;;Andrew;30;30;60;40;1;1;1;1;2;45
COMPRA SEMANAL;2219;TEVACARBO (CARBOPLATINA) 450MG F/A 45ML (G);TEVA;36;1;36;21/05/2024;S3;-;Mafra - RPO;1001; R$ 146,00 ; R$ 5.256,00 ;Livre;Andrew;37;61;60;40;118;147;240;118;158;40
COMPRA SEMANAL;2219;TEVACARBO (CARBOPLATINA) 450MG F/A 45ML (G);TEVA;9;1;9;21/05/2024;S3;61;Mafra - RJ;1002->1023; R$ 146,00 ; R$ 1.314,00 ;Livre;Andrew;8;8;60;40;4;1;1;4;6;44
COMPRA SEMANAL;2219;TEVACARBO (CARBOPLATINA) 450MG F/A 45ML (G);TEVA;39;1;39;21/05/2024;S3;-;Mafra - RN;1024; R$ -    ;  R$ -    ;Livre;Andrew;2;2;60;40;17;1;1;17;23;41
COMPRA SEMANAL;2346;TRIDIL (NITROGLICERINA) 25MG C/10 AMP 5ML*;CRISTALIA;50;50;50;21/05/2024;S3;-;Mafra - DF;1009; R$ 283,00 ; R$ 14.165,00 ;Livre;Alessandro;4;4;60;60;22;3;3;7;46;63
COMPRA SEMANAL;2575;TENOXICAM 20MG (GEN) C/50 FR-AMP+DIL CRISTALIA;CRISTALIA;63;12;60;21/05/2024;S3;-;Mafra - RPO;1001; R$ 300,00 ; R$ 18.900,00 ;Livre;Alessandro;1;1;60;60;54;2;2;32;33;18
COMPRA SEMANAL;2575;TENOXICAM 20MG (GEN) C/50 FR-AMP+DIL CRISTALIA;CRISTALIA;93;12;96;21/05/2024;S3;-;Mafra - DF;1009; R$ 300,00 ; R$ 27.900,00 ;Livre;Alessandro;5;5;60;60;79;14;14;47;60;23
COMPRA SEMANAL;2575;TENOXICAM 20MG (GEN) C/50 FR-AMP+DIL CRISTALIA;CRISTALIA;15;12;12;21/05/2024;S3;-;Mafra - REC;1010; R$ 300,00 ; R$ 4.500,00 ;Livre;Alessandro;16;16;60;60;15;8;8;9;14;29
COMPRA SEMANAL;2619;INSULINA APIDRA 100UI/ML 01 F/A 10ML (G);SANOFI;61;1;61;21/05/2024;S3;51;Mafra - RJ;1009->1023; R$ 89,00 ; R$ 5.407,65 ;Livre;Karolina;0;0;60;60;29;0;0;29;46;47
COMPRA SEMANAL;2619;INSULINA APIDRA 100UI/ML 01 F/A 10ML (G);SANOFI;14;1;14;21/05/2024;S3;-;Mafra - RJ;1023; R$ 89,00 ; R$ 1.241,10 ;Livre;Karolina;0;0;60;60;29;0;0;29;46;47
COMPRA SEMANAL;2632;ONDANSETRONA CLOR. (GEN) 4MG C/50 AMP VD 2ML;HYPOFARMA;40;20;40;21/05/2024;S3;-;Mafra - RPO;1001; R$ 52,00 ; R$ 2.060,00 ;Livre;Alessandro;3;3;60;30;138;12;12;48;4;1
COMPRA SEMANAL;2632;ONDANSETRONA CLOR. (GEN) 4MG C/50 AMP VD 2ML;HYPOFARMA;9;20;0;21/05/2024;S3;-;Mafra - LDA;1002; R$ 52,00 ; R$ 463,50 ;Livre;Alessandro;0;0;60;30;31;0;0;11;-2;-2
COMPRA SEMANAL;2632;ONDANSETRONA CLOR. (GEN) 4MG C/50 AMP VD 2ML;HYPOFARMA;126;20;120;21/05/2024;S3;-;Mafra - DF;1009; R$ 52,00 ; R$ 6.489,00 ;Livre;Alessandro;5;5;60;30;442;70;70;154;42;3
COMPRA SEMANAL;2632;ONDANSETRONA CLOR. (GEN) 4MG C/50 AMP VD 2ML;HYPOFARMA;25;20;20;21/05/2024;S3;-;Mafra - RJ;1023; R$ 52,00 ; R$ 1.287,50 ;;Alessandro;0;0;60;30;85;1;1;30;-4;-1
COMPRA SEMANAL;2633;ONDANSETRONA CLOR. (GEN) 8MG C/50 AMP 4ML;HYPOFARMA;340;24;336;21/05/2024;S3;-;Mafra - RPO;1001; R$ 60,00 ; R$ 20.400,00 ;Livre;Alessandro;0;0;60;30;426;1;1;426;-85;-6
COMPRA SEMANAL;2633;ONDANSETRONA CLOR. (GEN) 8MG C/50 AMP 4ML;HYPOFARMA;192;24;192;21/05/2024;S3;-;Mafra - LDA;1002; R$ 60,00 ; R$ 11.520,00 ;Livre;Alessandro;1;1;60;30;240;4;4;240;-44;-6
COMPRA SEMANAL;2633;ONDANSETRONA CLOR. (GEN) 8MG C/50 AMP 4ML;HYPOFARMA;475;24;480;21/05/2024;S3;-;Mafra - DF;1009; R$ 60,00 ; R$ 28.500,00 ;Livre;Alessandro;0;21;60;30;595;0;408;595;288;15
COMPRA SEMANAL;2633;ONDANSETRONA CLOR. (GEN) 8MG C/50 AMP 4ML;HYPOFARMA;166;24;168;21/05/2024;S3;-;Mafra - REC;1010; R$ 60,00 ; R$ 9.960,00 ;Livre;Alessandro;0;35;60;30;208;2;242;208;200;29
COMPRA SEMANAL;2641;INVEGA 6MG (C1) C/28 CPR REV;CELLERA;6;8;8;21/05/2024;S3;-;Mafra - DF;1009; R$ 641,00 ; R$ 3.848,46 ;Livre;Elisete;15;15;60;30;8;4;4;5;5;18
COMPRA SEMANAL;2641;INVEGA 6MG (C1) C/28 CPR REV;CELLERA;2;8;0;21/05/2024;S3;-;Mafra - RJ;1023; R$ 641,00 ; R$ 1.282,74 ;Livre;Elisete;0;0;60;30;2;0;0;1;1;13
COMPRA SEMANAL;2660;METOPROLOL TART. (GEN) 100MG C/30 CPR REV;LABOFARMA;31;48;48;21/05/2024;S3;12;Mafra - RPO;1003->1001; R$ 10,00 ; R$ 302,56 ;Livre;Bruna;0;0;60;60;12;0;0;12;19;48
COMPRA SEMANAL;2670;PACLITAXEL (GEN) 300MG (6MG/ML) FR 50ML;ACCORD;444;60;420;21/05/2024;S3;-;Mafra - RPO;1001; R$ 72,00 ; R$ 31.968,00 ;Livre;Andrew;0;39;60;60;323;0;425;315;554;51
COMPRA SEMANAL;2670;PACLITAXEL (GEN) 300MG (6MG/ML) FR 50ML;ACCORD;93;60;120;21/05/2024;S3;-;Mafra - LDA;1002; R$ 72,00 ; R$ 6.696,00 ;Livre;Andrew;0;18;60;60;47;0;28;46;75;48
COMPRA SEMANAL;2670;PACLITAXEL (GEN) 300MG (6MG/ML) FR 50ML;ACCORD;2;60;0;21/05/2024;S3;-;Mafra - CTL;1003; R$ 72,00 ; R$ 144,00 ;Livre;Andrew;0;0;60;60;1;0;0;1;1;27
COMPRA SEMANAL;2670;PACLITAXEL (GEN) 300MG (6MG/ML) FR 50ML;ACCORD;90;60;120;21/05/2024;S3;53;Mafra - RN;1010->1024; R$ 72,00 ; R$ 6.480,00 ;Livre;Andrew;2;2;60;60;62;5;5;60;78;38
COMPRA SEMANAL;2670;PACLITAXEL (GEN) 300MG (6MG/ML) FR 50ML;ACCORD;43;60;60;21/05/2024;S3;-;Mafra - RN;1024; R$ -    ;  R$ -    ;;Andrew;2;2;60;60;62;5;5;60;78;38
COMPRA SEMANAL;2671;PACLITAXEL (GEN) 100MG F/A 16,7ML;ACCORD;496;1;496;21/05/2024;S3;-;Mafra - RPO;1001; R$ 31,00 ; R$ 15.376,00 ;Livre;Andrew;58;71;60;60;1045;2010;2456;895;2057;59
COMPRA SEMANAL;2671;PACLITAXEL (GEN) 100MG F/A 16,7ML;ACCORD;277;1;277;21/05/2024;S3;-;Mafra - LDA;1002; R$ 31,00 ; R$ 8.587,00 ;Livre;Andrew;4;11;60;60;118;16;42;101;218;56
COMPRA SEMANAL;2671;PACLITAXEL (GEN) 100MG F/A 16,7ML;ACCORD;49;1;49;21/05/2024;S3;53;Mafra - RN;1010->1024; R$ 31,00 ; R$ 1.519,00 ;Livre;Andrew;16;47;60;60;52;27;81;44;101;58
COMPRA SEMANAL;2671;PACLITAXEL (GEN) 100MG F/A 16,7ML;ACCORD;15;1;15;21/05/2024;S3;-;Mafra - RN;1024; R$ -    ;  R$ -    ;;Andrew;16;47;60;60;52;27;81;44;101;58
COMPRA SEMANAL;2775;AVASTIN FR 400MG/ 16ML (G)*;ROCHE;36;1;36;24/05/2024;S3;6;Mafra - DF;1002->1009; R$ 5.452,00 ; R$ 196.261,20 ;Sexta-feira;Byanca;0;0;60;30;58;0;0;40;22;11
COMPRA SEMANAL;2775;AVASTIN FR 400MG/ 16ML (G)*;ROCHE;26;1;26;24/05/2024;S3;-;Mafra - DF;1009; R$ 5.753,00 ; R$ 149.588,40 ;Sexta-feira;Byanca;0;0;60;30;58;0;0;40;22;11
COMPRA SEMANAL;2778;NEULASTIM 10MG/ML SER 0,6ML + DISP SEG (G);AMGEN;49;1;49;21/05/2024;S3;-;Mafra - LDA;1002; R$ 2.947,00 ; R$ 144.387,81 ;Livre;Elisete;0;48;60;45;104;0;165;66;148;43
COMPRA SEMANAL;2778;NEULASTIM 10MG/ML SER 0,6ML + DISP SEG (G);AMGEN;86;1;86;21/05/2024;S3;-;Mafra - RJ;1023; R$ 2.947,00 ; R$ 253.415,34 ;Livre;Elisete;2;2;60;45;54;3;3;34;55;30
COMPRA SEMANAL;3375;SIMETICONA (GEN) 75MG/ML GTS FR 10ML;HIPOLABOR;1026;200;1000;21/05/2024;S3;-;Mafra - RPO;1001; R$ 2,00 ; R$ 1.641,60 ;Livre;Alessandro;1;1;60;45;1056;40;40;781;285;8
COMPRA SEMANAL;3375;SIMETICONA (GEN) 75MG/ML GTS FR 10ML;HIPOLABOR;498;200;400;21/05/2024;S3;-;Mafra - DF;1009; R$ 2,00 ; R$ 796,80 ;Livre;Alessandro;0;0;60;45;222;0;0;164;334;45
COMPRA SEMANAL;3413;SIMETICONA (GEN) 75MG/ML 15ML ROSA;PRATI DONADUZZI;184;200;200;21/05/2024;S3;-;Mafra - RPO;1001; R$ 2,00 ; R$ 395,60 ;Livre;Teresa;0;0;60;45;103;0;0;103;82;24
COMPRA SEMANAL;3418;B-PLATIN (CARBOPLATINA) 450MG/45ML F/A*;BLAU;438;1;438;21/05/2024;S3;-;Mafra - LDA;1002; R$ 95,00 ; R$ 41.610,00 ;Livre;Alessandro;0;8;60;50;400;3;103;349;192;14
COMPRA SEMANAL;3418;B-PLATIN (CARBOPLATINA) 450MG/45ML F/A*;BLAU;182;1;182;21/05/2024;S3;-;Mafra - RJ;1023; R$ 95,00 ; R$ 17.290,00 ;Livre;Alessandro;4;22;60;50;167;20;120;146;156;28
COMPRA SEMANAL;3418;B-PLATIN (CARBOPLATINA) 450MG/45ML F/A*;BLAU;429;1;429;21/05/2024;S3;-;Mafra - RN;1024; R$ -    ;  R$ -    ;Livre;Alessandro;0;0;60;50;392;0;0;342;87;7
COMPRA SEMANAL;3431;SEROQUEL XRO (C1) 50MG C/30 CPR REV LP;ASTRAZENECA;1;1;1;21/05/2024;S3;-;Mafra - RPO;1001; R$ 175,00 ; R$ 174,68 ;;Byanca;30;30;60;30;1;1;1;0;2;50
COMPRA SEMANAL;3431;SEROQUEL XRO (C1) 50MG C/30 CPR REV LP;ASTRAZENECA;1;1;1;21/05/2024;S3;-;Mafra - DF;1009; R$ 175,00 ; R$ 174,68 ;Livre;Byanca;30;30;60;30;1;1;1;1;1;40
COMPRA SEMANAL;3431;SEROQUEL XRO (C1) 50MG C/30 CPR REV LP;ASTRAZENECA;1;1;1;21/05/2024;S3;-;Mafra - RJ;1023; R$ 183,00 ; R$ 182,72 ;Livre;Byanca;0;0;60;30;2;0;0;1;0;0
COMPRA SEMANAL;3453;DEXAMETASONA (GEN) 2MG/ML C/50 AMP 1ML;HYPOFARMA;20;20;20;21/05/2024;S3;-;Mafra - RPO;1001; R$ 44,00 ; R$ 880,00 ;Livre;Alessandro;2;2;60;30;13;1;1;12;9;21
COMPRA SEMANAL;3453;DEXAMETASONA (GEN) 2MG/ML C/50 AMP 1ML;HYPOFARMA;62;20;60;21/05/2024;S3;-;Mafra - DF;1009; R$ 44,00 ; R$ 2.728,00 ;Livre;Alessandro;0;0;60;30;32;0;0;30;32;30
COMPRA SEMANAL;3472;XARELTO 10MG C/30 CPR REV;BAYER;30;30;30;21/05/2024;S3;-;Mafra - DF;1009; R$ 224,00 ; R$ 6.728,70 ;Livre;Bruna;36;36;60;60;10;12;12;9;33;99
COMPRA SEMANAL;3515;PACLITAXEL (GEN) 30MG C/20 F/A 5ML (G);EUROFARMA ONCO;1;1;1;21/05/2024;S3;-;Mafra - RPO;1001; R$ 565,00 ; R$ 565,00 ;Livre;Andrew;0;60;60;30;1;0;2;1;3;75
COMPRA SEMANAL;3586;FOLINATO DE CALCIO 300MG (GEN) C/10 F/A 30ML (G);EUROFARMA ONCO;1;1;1;21/05/2024;S3;-;Mafra - LDA;1002; R$ 1.024,00 ; R$ 1.024,00 ;Livre;Andrew;0;1110;60;30;1;0;37;1;37;1120
COMPRA SEMANAL;3586;FOLINATO DE CALCIO 300MG (GEN) C/10 F/A 30ML (G);EUROFARMA ONCO;1;1;1;21/05/2024;S3;-;Mafra - DF;1009; R$ 1.024,00 ; R$ 1.024,00 ;Livre;Andrew;0;0;60;30;1;0;0;0;1;16
COMPRA SEMANAL;3586;FOLINATO DE CALCIO 300MG (GEN) C/10 F/A 30ML (G);EUROFARMA ONCO;1;1;1;21/05/2024;S3;61;Mafra - RJ;1002->1023; R$ 1.024,00 ; R$ 1.024,00 ;Livre;Andrew;0;0;60;30;1;0;0;1;0;3
COMPRA SEMANAL;3589;NAVELBINE (VINORELBINA) 20MG ORAL C/1 CPS MOLE (G)*;BLANVER;1;1;1;21/05/2024;S3;-;Mafra - REC;1010; R$ 124,00 ; R$ 124,00 ;Livre;Karolina;0;90;60;30;1;0;3;0;4;117
